"age","workclass","fnlwgt","education","educationnum","maritalstatus","occupation","relationship","race","sex","capitalgain","capitalloss","hoursperweek","nativecountry","income","native.country"
28," Private",338409," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Wife"," Black"," Female",0,0,40," Cuba"," <=50K"," Cuba"
37," Private",284582," Masters",14," Married-civ-spouse"," Exec-managerial"," Wife"," White"," Female",0,0,40," United-States"," <=50K"," United-States"
49," Private",160187," 9th",5," Married-spouse-absent"," Other-service"," Not-in-family"," Black"," Female",0,0,16," Jamaica"," <=50K"," Jamaica"
52," Self-emp-not-inc",209642," HS-grad",9," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,45," United-States"," >50K"," United-States"
32," Private",205019," Assoc-acdm",12," Never-married"," Sales"," Not-in-family"," Black"," Male",0,0,50," United-States"," <=50K"," United-States"
34," Private",245487," 7th-8th",4," Married-civ-spouse"," Transport-moving"," Husband"," Amer-Indian-Eskimo"," Male",0,0,45," Mexico"," <=50K"," Mexico"
56," Local-gov",216851," Bachelors",13," Married-civ-spouse"," Tech-support"," Husband"," White"," Male",0,0,40," United-States"," >50K"," United-States"
54," ?",180211," Some-college",10," Married-civ-spouse"," ?"," Husband"," Asian-Pac-Islander"," Male",0,0,60," South"," >50K"," South"
39," Private",367260," HS-grad",9," Divorced"," Exec-managerial"," Not-in-family"," White"," Male",0,0,80," United-States"," <=50K"," United-States"
23," Local-gov",190709," Assoc-acdm",12," Never-married"," Protective-serv"," Not-in-family"," White"," Male",0,0,52," United-States"," <=50K"," United-States"
30," Federal-gov",59951," Some-college",10," Married-civ-spouse"," Adm-clerical"," Own-child"," White"," Male",0,0,40," United-States"," <=50K"," United-States"
22," State-gov",311512," Some-college",10," Married-civ-spouse"," Other-service"," Husband"," Black"," Male",0,0,15," United-States"," <=50K"," United-States"
48," Private",242406," 11th",7," Never-married"," Machine-op-inspct"," Unmarried"," White"," Male",0,0,40," Puerto-Rico"," <=50K"," Puerto-Rico"
21," Private",197200," Some-college",10," Never-married"," Machine-op-inspct"," Own-child"," White"," Male",0,0,40," United-States"," <=50K"," United-States"
19," Private",544091," HS-grad",9," Married-AF-spouse"," Adm-clerical"," Wife"," White"," Female",0,0,25," United-States"," <=50K"," United-States"
25," Private",289980," HS-grad",9," Never-married"," Handlers-cleaners"," Not-in-family"," White"," Male",0,0,35," United-States"," <=50K"," United-States"
29," Private",271466," Assoc-voc",11," Never-married"," Prof-specialty"," Not-in-family"," White"," Male",0,0,43," United-States"," <=50K"," United-States"
43," Private",237993," Some-college",10," Married-civ-spouse"," Tech-support"," Husband"," White"," Male",0,0,40," United-States"," >50K"," United-States"
28," Private",183175," Some-college",10," Divorced"," Adm-clerical"," Not-in-family"," White"," Female",0,0,40," United-States"," <=50K"," United-States"
19," Private",101509," Some-college",10," Never-married"," Prof-specialty"," Own-child"," White"," Male",0,0,32," United-States"," <=50K"," United-States"
31," Private",309974," Bachelors",13," Separated"," Sales"," Own-child"," Black"," Female",0,0,40," United-States"," <=50K"," United-States"
52," Private",276515," Bachelors",13," Married-civ-spouse"," Other-service"," Husband"," White"," Male",0,0,40," Cuba"," <=50K"," Cuba"
33," Private",202051," Masters",14," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,50," United-States"," <=50K"," United-States"
30," Private",117747," HS-grad",9," Married-civ-spouse"," Sales"," Wife"," Asian-Pac-Islander"," Female",0,1573,35," ?"," <=50K"," ?"
34," Local-gov",226296," Bachelors",13," Married-civ-spouse"," Protective-serv"," Husband"," White"," Male",0,0,40," United-States"," >50K"," United-States"
48," Self-emp-not-inc",191277," Doctorate",16," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,1902,60," United-States"," >50K"," United-States"
37," Private",202683," Some-college",10," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,48," United-States"," >50K"," United-States"
48," Private",171095," Assoc-acdm",12," Divorced"," Exec-managerial"," Unmarried"," White"," Female",0,0,40," England"," <=50K"," England"
76," Private",124191," Masters",14," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,40," United-States"," >50K"," United-States"
31," Local-gov",189265," HS-grad",9," Never-married"," Adm-clerical"," Not-in-family"," White"," Female",0,0,40," United-States"," <=50K"," United-States"
42," Private",124692," HS-grad",9," Married-civ-spouse"," Handlers-cleaners"," Husband"," White"," Male",0,0,40," United-States"," <=50K"," United-States"
56," Self-emp-not-inc",335605," HS-grad",9," Married-civ-spouse"," Other-service"," Husband"," White"," Male",0,1887,50," Canada"," >50K"," Canada"
28," Private",377869," Some-college",10," Married-civ-spouse"," Sales"," Wife"," White"," Female",4064,0,25," United-States"," <=50K"," United-States"
53," Private",95647," 9th",5," Married-civ-spouse"," Handlers-cleaners"," Husband"," White"," Male",0,0,50," United-States"," <=50K"," United-States"
56," Self-emp-inc",303090," Some-college",10," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,50," United-States"," <=50K"," United-States"
55," Private",247552," Some-college",10," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,56," United-States"," <=50K"," United-States"
22," Private",102632," HS-grad",9," Never-married"," Craft-repair"," Not-in-family"," White"," Male",0,0,41," United-States"," <=50K"," United-States"
29," State-gov",267989," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,50," United-States"," >50K"," United-States"
47," Private",287828," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Wife"," White"," Female",0,0,40," United-States"," >50K"," United-States"
49," Private",81973," Some-college",10," Married-civ-spouse"," Craft-repair"," Husband"," Asian-Pac-Islander"," Male",0,0,40," United-States"," >50K"," United-States"
19," Private",316868," Some-college",10," Never-married"," Other-service"," Own-child"," White"," Male",0,0,30," Mexico"," <=50K"," Mexico"
45," Private",196584," Assoc-voc",11," Never-married"," Prof-specialty"," Not-in-family"," White"," Female",0,1564,40," United-States"," >50K"," United-States"
22," Private",175374," Some-college",10," Married-civ-spouse"," Other-service"," Husband"," White"," Male",0,0,24," United-States"," <=50K"," United-States"
36," Private",108293," HS-grad",9," Widowed"," Other-service"," Unmarried"," White"," Female",0,0,24," United-States"," <=50K"," United-States"
33," Private",163003," Bachelors",13," Never-married"," Exec-managerial"," Other-relative"," Asian-Pac-Islander"," Female",0,0,40," Philippines"," <=50K"," Philippines"
52," ?",252903," HS-grad",9," Divorced"," ?"," Not-in-family"," White"," Male",0,0,45," United-States"," >50K"," United-States"
48," Private",187715," HS-grad",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,46," United-States"," <=50K"," United-States"
29," Private",191535," HS-grad",9," Divorced"," Craft-repair"," Not-in-family"," White"," Male",0,0,60," United-States"," <=50K"," United-States"
42," Private",228456," Bachelors",13," Separated"," Other-service"," Other-relative"," Black"," Male",0,0,50," United-States"," <=50K"," United-States"
36," Private",207157," Some-college",10," Divorced"," Other-service"," Unmarried"," White"," Female",0,0,40," Mexico"," <=50K"," Mexico"
39," Federal-gov",235485," Assoc-acdm",12," Never-married"," Exec-managerial"," Not-in-family"," White"," Male",0,0,42," United-States"," <=50K"," United-States"
66," Local-gov",54826," Assoc-voc",11," Widowed"," Prof-specialty"," Not-in-family"," White"," Female",0,0,20," United-States"," <=50K"," United-States"
27," Private",124953," HS-grad",9," Never-married"," Other-service"," Not-in-family"," White"," Male",0,1980,40," United-States"," <=50K"," United-States"
28," State-gov",175325," HS-grad",9," Married-civ-spouse"," Protective-serv"," Husband"," White"," Male",0,0,40," United-States"," <=50K"," United-States"
28," State-gov",149624," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,40," United-States"," >50K"," United-States"
21," Private",312956," HS-grad",9," Never-married"," Craft-repair"," Own-child"," Black"," Male",0,0,40," United-States"," <=50K"," United-States"
30," Private",633742," Some-college",10," Never-married"," Craft-repair"," Not-in-family"," Black"," Male",0,0,45," United-States"," <=50K"," United-States"
37," Federal-gov",29054," Some-college",10," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",0,0,42," United-States"," >50K"," United-States"
34," Private",304030," HS-grad",9," Married-civ-spouse"," Adm-clerical"," Husband"," Black"," Male",0,0,40," United-States"," <=50K"," United-States"
41," Local-gov",523910," Bachelors",13," Married-civ-spouse"," Craft-repair"," Husband"," Black"," Male",0,0,40," United-States"," <=50K"," United-States"
47," Private",120939," Some-college",10," Married-civ-spouse"," Tech-support"," Husband"," White"," Male",0,0,45," United-States"," <=50K"," United-States"
35," Private",138992," Masters",14," Married-civ-spouse"," Prof-specialty"," Other-relative"," White"," Male",7298,0,40," United-States"," >50K"," United-States"
26," Private",397317," Masters",14," Never-married"," Prof-specialty"," Not-in-family"," White"," Female",0,1876,40," United-States"," <=50K"," United-States"
19," ?",170653," HS-grad",9," Never-married"," ?"," Own-child"," White"," Male",0,0,40," Italy"," <=50K"," Italy"
35," Private",36270," HS-grad",9," Divorced"," Craft-repair"," Not-in-family"," White"," Male",0,0,60," United-States"," <=50K"," United-States"
35," Private",153790," Some-college",10," Never-married"," Sales"," Not-in-family"," Amer-Indian-Eskimo"," Female",0,0,40," United-States"," <=50K"," United-States"
38," Private",182609," Bachelors",13," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,50," Poland"," <=50K"," Poland"
60," ?",24215," 10th",6," Divorced"," ?"," Not-in-family"," Amer-Indian-Eskimo"," Female",0,0,10," United-States"," <=50K"," United-States"
35," Private",538583," 11th",7," Separated"," Transport-moving"," Not-in-family"," Black"," Male",3674,0,40," United-States"," <=50K"," United-States"
